newspaper,allsides,rating,rating_num,source_url,domain
cnn,CNN (Web News),left-center,2.0,,www.cnn.com
cnn,CNN - Editorial,left,1.0,,www.cnn.com
,CNS News,,0.0,,
cnsnews,CNSNews.com,right,5.0,,cnsnews.com
cjr,Columbia Journalism Review,center,3.0,,www.cjr.org
commentarymagazine,Commentary Magazine,right,5.0,,www.commentarymagazine.com
,Conor Friedersdorf,,0.0,,
conservativehq,Conservative HQ,right,5.0,,www.conservativehq.com
cookpolitical,Cook Report,center,3.0,,cookpolitical.com
cfr,Council on Foreign Relations,left,1.0,,www.cfr.org
countable,Countable,center,3.0,,www.countable.us
countercurrents,Counter Currents,left-center,2.0,,www.countercurrents.org
counterpointing,Counterpointing,allsides,,,www.counterpointing.com
crowdpac,CrowdPAC,center,3.0,,www.crowdpac.com
cuindependent,CU Independent,center,3.0,,cuindependent.com
currentaffairs,Current Affairs,left,1.0,,www.currentaffairs.org
thedailybeast,Daily Beast,left,1.0,,www.thedailybeast.com
dailycardinal,Daily Cardinal,center,3.0,,www.dailycardinal.com
dailykos,Daily Kos,left,1.0,,www.dailykos.com
dailymail,Daily Mail,right,5.0,,dailymail.co.uk
dailynorthwestern,Daily Northwestern,left-center,2.0,,dailynorthwestern.com
dailypress,Daily Press,right-center,4.0,,www.dailypress.com
dailyprogress,Daily Progress,center,3.0,,www.dailyprogress.com
dailytargum,Daily Targum,left-center,2.0,,www.dailytargum.com
,Damon Linker,,0.0,,
,Dan Lucas,,0.0,,
,Dan Wasserman (cartoonist),,0.0,,
,Dana Milbank,,0.0,,
,Dana Summers (cartoonist),,0.0,,
,David Brooks,,0.0,,
,David Holmes,,0.0,,
,David Ignatius,,0.0,,
,David Leonhardt,,0.0,,
,Debra Saunders,,0.0,,
,Defense One,,0.0,,
democracynow,Democracy Now,left,1.0,,www.democracynow.org
deseret,Deseret News,right-center,4.0,,www.deseret.com
,Dick Locher (cartoonist),,0.0,,
,Dick Morris,,0.0,,
diplomaticourier,Diplomatic Courier,center,3.0,,www.diplomaticourier.com
,Drew Litton (cartoonist),,0.0,,
,Drew Sheneman (cartoonist),,0.0,,
drudgereport,Drudge Report,right-center,4.0,,www.drudgereport.com
dukechronicle,Duke Chronicle,center,3.0,,www.dukechronicle.com
,E J Dionne,,0.0,,
epi,Economic Policy Institute,left,1.0,,www.epi.org
,Ed Rogers,,0.0,,
nea,EdVotes.org,left,1.0,,educationvotes.nea.org
,Edward Morrissey,,0.0,,
,Eli Parser,,0.0,,
edf,Environmental Defense Fund,left-center,2.0,,www.edf.org
,Eric Allie (cartoonist),,0.0,,
,Erik Wemple,,0.0,,
,Esquire,,0.0,,
eptrail,Estes Park Trail Gazette,center,3.0,,www.eptrail.com
,Eugene Robinson,,0.0,,
eurekalert,Eurek Alert,center,3.0,,www.eurekalert.org
,Ezra Klein,,0.0,,
,Fact Checker Blog,,0.0,,
factcheck,FactCheck.org,center,3.0,,factcheck.org
fair,FAIR,left-center,2.0,,fair.org
fair,Fair.org,center,3.0,,fair.org
fcnp,Falls Church News - Press,left,1.0,,www.fcnp.com
,Family Research Council,,0.0,,
,Fareed Zakaria,,0.0,,
fas,Federation of American Scientists,left-center,2.0,,fas.org
,Financial Times,,0.0,,
thefiscaltimes,Fiscal Times,right-center,4.0,,www.thefiscaltimes.com
fivethirtyeight,FiveThirtyEight,center,3.0,,fivethirtyeight.com
fooddemocracynow,Food Democracy Now,left-center,2.0,,www.fooddemocracynow.org
forbes,Forbes,center,3.0,,www.forbes.com
foreignaffairs,Foreign Affairs,center,3.0,,www.foreignaffairs.com
foxnews,Fox News Latino,right,5.0,,latino.foxnews.com
foxnews,Fox News Opinion,right,5.0,,www.foxnews.com
foxnews,Fox Online News,right-center,4.0,,www.foxnews.com
,Frank Bruni,,0.0,,
,Frank Miniter,,0.0,,
freakonomics,Freakonomics,center,3.0,,freakonomics.com
freedomhouse,Freedom House,right-center,4.0,,freedomhouse.org
,Froma Harrop,,0.0,,
frontpagemag,FrontPage Magazine,right,5.0,,frontpagemag.com
,Gary Markstein (cartoonist),,0.0,,
,Gary Varvel (cartoonist),,0.0,,
gell,Gell,allsides,,,www.gell.com
,George Will,,0.0,,
,Glenn Beck,,0.0,,
,Glenn McCoy (cartoonist),,0.0,,
google,Google News,left-center,2.0,,news.google.com
gop,GOP.gov,right,5.0,,www.gop.gov
grist,Grist,left-center,2.0,,grist.org
,Grover Norquist,,0.0,,
,Guest Writer - Center,,0.0,,
,Guest Writer - Left,,0.0,,
,Guest Writer - Right,,0.0,,
hamptonroadsmessenger,Hampton Roads Messanger,center,3.0,,www.hamptonroadsmessenger.com
hbs,Harvard Business School,left-center,2.0,,hbswk.hbs.edu
healthcare,Healthcare.gov,left-center,2.0,,www.healthcare.gov
,Heather Mac Donald,,0.0,,
,Henry A. Brechter,,0.0,,
,Henry Payne (cartoonist),,0.0,,
heralddemocrat,Herald Democrat,left,1.0,,heralddemocrat.com
,Hirsh Joshi,,0.0,,
civilbeat,Honolulu Civil Beat,center,3.0,,www.civilbeat.org
hotair,HotAir,right-center,4.0,,hotair.com
,How Do We Fix It?,,0.0,,
,Howard Kurtz,,0.0,,
,Howard Kurtz,,0.0,,
huffpost,HuffPost,left,1.0,,www.huffpost.com
inacow,Inacow,right,5.0,,www.inacow.com
independent,Independent Institute,right-center,4.0,,www.independent.org
ijreview,Independent Journal Review,right-center,4.0,,www.ijreview.com
idsnews,Indiana Daily Student,center,3.0,,www.idsnews.com
theindyonline,Indy Online,center,3.0,,www.theindyonline.com
indyweek,Indy Week,left-center,2.0,,www.indyweek.com
infowars,InfoWars,right,5.0,,www.infowars.com
,Inside Philanthropy,,0.0,,
,Intellectual Conservative,,0.0,,
ibtimes,International Business Times,center,3.0,,www.ibtimes.com
investors,Investor's Business Daily,right-center,4.0,,www.investors.com
ivn,IVN,center,3.0,,www.ivn.us
,Jack Ohman (cartoonist),,0.0,,
,Jack Welch,,0.0,,
jacobinmag,Jacobin,left,1.0,,jacobinmag.com
,James Hohmann,,0.0,,
,James Pethokoukis,,0.0,,
,James Poulos,,0.0,,
,Jeff Danziger (cartoonist),,0.0,,
,Jeff Jacoby,,0.0,,
,Jeff Stahler (cartoonist),,0.0,,
,Jen Sorensen (cartoonist),,0.0,,
,Jennifer Rubin,,0.0,,
,Jeremy E Sherman,,0.0,,
,Jerry Bowyer,,0.0,,
,Jerry Holbert (cartoonist),,0.0,,
,Jesse Jackson,,0.0,,
jezebel,Jezebel,left,1.0,,jezebel.com
,Jim Morin (cartoonist),,0.0,,
,Jim Rutenberg,,0.0,,
,Joan Blades,,0.0,,
,Joe Scarborough,,0.0,,
,Joel Pett (cartoonist),,0.0,,
,John Boehner,,0.0,,
,John Deering (cartoonist),,0.0,,
,John Fund,,0.0,,
,"John Gable, AllSides Founder",,0.0,,
,John K. Herr,,0.0,,
,John Pudner,,0.0,,
,John Stossel,,0.0,,
,Jon Terbush,,0.0,,
,Jonah Goldberg,,0.0,,
,Jonathan Chait,,0.0,,
,Jonathan Miller,,0.0,,
journalistsresource,Journalist's Resource,center,3.0,,journalistsresource.org
,Juan Williams,,0.0,,
jubileemedia,Jubilee Media,center,3.0,,www.jubileemedia.com
judicialwatch,Judicial Watch,right-center,4.0,,www.judicialwatch.org
,Julian Zelizer,,0.0,,
,Kathleen Parker,,0.0,,
,KATU,,0.0,,
,Ken Catalino (cartoonist),,0.0,,
,Kevin Kallaugher (cartoonist),,0.0,,
,Kimberley A. Strassel,,0.0,,
,Kirsten Powers,,0.0,,
KQED,KQED,center,3.0,,KQED.org
ksl,KSL,right,5.0,,www.ksl.com
,Lalo Alcaraz (cartoonist),,0.0,,
,Lanhee Chen,,0.0,,
lasvegassun,Las Vegas Sun,left-center,2.0,,lasvegassun.com
,Laura Rose Junco,,0.0,,
,Lauren Duca,,0.0,,
leesburgtoday,Leesburg Today,right-center,4.0,,www.leesburgtoday.com
,Left - Major Media Sources,,0.0,,
,Left Guest Commentaries,,0.0,,
,Leonard Pitts Jr,,0.0,,
lifehacker,Lifehacker,center,3.0,,www.lifehacker.com
,Lisa Benson (cartoonist),,0.0,,
,Lisa Gable,,0.0,,
listenfirstproject,Listen First Project,allsides,,,www.listenfirstproject.org
liveactionnews,Live Action News,right-center,4.0,,liveactionnews.org
livingroomconversations,Living Room Conversations,allsides,,,www.livingroomconversations.org
timescall,Longmont Times-Call,left-center,2.0,,www.timescall.com
latimes,Los Angeles Times,left-center,2.0,,www.latimes.com
courier-journal,Louisville Courier-Journal,left-center,2.0,,www.courier-journal.com
manhattan-institute,Manhattan Institute,right-center,4.0,,www.manhattan-institute.org
,Marc A. Thiessen,,0.0,,
,Mark Gerzon,,0.0,,
,Mark Mix,,0.0,,
,Mark Morford,,0.0,,
marketwatch,MarketWatch,right-center,4.0,,www.marketwatch.com
,Marshall Ramsey (cartoonist),,0.0,,
,Mary O'Grady,,0.0,,
,Mashable,,0.0,,
,Matt Bors (cartoonist),,0.0,,
,Matt Davies (cartoonist),,0.0,,
,Matt Drudge,,0.0,,
,Matt Towery,,0.0,,
,Matt Welch,,0.0,,
,Matt Wuerker (cartoonist),,0.0,,
,Maureen Dowd,,0.0,,
,McClatchyDC,,0.0,,
mediamatters,Media Matters,left,1.0,,www.mediamatters.org
mrc,Media Research Center,right,5.0,,www.mrc.org
mediaite,Mediaite,left-center,2.0,,www.mediaite.com
miamiherald,Miami Herald,left-center,2.0,,www.miamiherald.com
,Michael Barone,,0.0,,
,Michael Brendan Dougherty,,0.0,,
,Michael Gerson,,0.0,,
,Michael Goodwin,,0.0,,
,Michael Graham,,0.0,,
,Michael Kinsley,,0.0,,
,Michael Medved,,0.0,,
,Michael Ramirez (cartoonist),,0.0,,
,Michelle Alexander,,0.0,,
,Michelle Malkin,,0.0,,
michellemalkin,MichelleMalkin.com,right,5.0,,michellemalkin.com
michigandaily,Michigan Daily,left-center,2.0,,www.michigandaily.com
,Mike Lester (cartoonist),,0.0,,
,Mike Luckovich (cartoonist),,0.0,,
,Mike Thompson (cartoonist),,0.0,,
mismatch,Mismatch.org,allsides,,,www.mismatch.org
mit,MIT News,center,3.0,,news.mit.edu
,Morgan Jacobsen,,0.0,,
motherjones,Mother Jones,left,1.0,,www.motherjones.com
msnbc,MSNBC,left,1.0,,www.msnbc.com
mtv,MTV News Online,left-center,2.0,,www.mtv.com
ncpssm,National Committee to Preserve Social Security and Medicare,left,1.0,,www.ncpssm.org
nationalinterest,National Interest,center,3.0,,nationalinterest.org
nationaljournal,National Journal,center,3.0,,www.nationaljournal.com
nationalreview,National Review,right,5.0,,www.nationalreview.com
today,NBC Today Show,left-center,2.0,,www.today.com
nbcnews,NBCNews.com,left-center,2.0,,www.nbcnews.com
,Neil J. Young,,0.0,,
ips-dc,New Economy Working Group,left-center,2.0,,www.ips-dc.org
newrepublic,New Republic,left,1.0,,www.newrepublic.com
nydailynews,New York Daily News,left,1.0,,www.nydailynews.com
nymag,New York Magazine,left,1.0,,nymag.com
nypost,New York Post,right,5.0,,www.nypost.com
nytimes,New York Times - News,left-center,2.0,,www.nytimes.com
nytimes,New York Times - Opinion,left,1.0,,www.nytimes.com
newsbusters,NewsBusters,right,5.0,,www.newsbusters.org
newsmax,Newsmax,right,5.0,,www.newsmax.com
newsweek,Newsweek,left-center,2.0,,www.newsweek.com
,Newt Gingrich,,0.0,,
,Nicholas Kristof,,0.0,,
,Nick Anderson (cartoonist),,0.0,,
nmpolitics,NMPolitics.net,center,3.0,,nmpolitics.net
nolabels,No Labels,center,3.0,,www.nolabels.org
,Noah Rothman,,0.0,,
npr,NPR Editorial,left-center,2.0,,www.npr.org
npr,NPR Online News,center,3.0,,www.npr.org
,One America News Network,,0.0,,
opensecrets,OpenSecrets.org,center,3.0,,www.opensecrets.org
ocregister,Orange County Register,right-center,4.0,,www.ocregister.com
pacificresearch,Pacific Research Institute,right,5.0,,www.pacificresearch.org
psmag,Pacific Standard,left-center,2.0,,www.psmag.com
,Pat Oliphant (cartoonist),,0.0,,
,Paul Krugman,,0.0,,
,Paul Szep (cartoonist),,0.0,,
pbs,PBS NewsHour,center,3.0,,www.pbs.org
peacock-panache,Peacock Panache,left,1.0,,www.peacock-panache.com
,Peggy Noonan,,0.0,,
pfaw,People for the American Way,left,1.0,,www.pfaw.org
,Peter Roff,,0.0,,
,Peter Thiel,,0.0,,
pnhp,Physicians for a National Health Program,left,1.0,,www.pnhp.org
,Piers Morgan,,0.0,,
post-gazette,Pittsburgh Post-Gazette,right-center,4.0,,www.post-gazette.com
,PJ Media,,0.0,,
,PJ Media,,0.0,,
politico,Politico,left-center,2.0,,www.politico.com
politicususa,PoliticusUSA,left,1.0,,www.politicususa.com
politifact,PolitiFact,left-center,2.0,,www.politifact.com
pressherald,Portland Press Herald,center,3.0,,www.pressherald.com
prageru,Prager University,right,5.0,,www.prageru.com
pri,PRI (Public Radio International),center,3.0,,www.pri.org
procon,ProCon.org,allsides,,,www.procon.org
progressivevoicesofiowa,Progressive Voices of Iowa,left,1.0,,progressivevoicesofiowa.com
projectveritas,Project Veritas,right-center,4.0,,www.projectveritas.com
propublica,ProPublica,center,3.0,,www.propublica.org
pxw,PXW News,center,3.0,,www.pxw.news
qz,Quartz,center,3.0,,qz.com
,Quillette,,0.0,,
,Rachel Eckhardt,,0.0,,
,Rahm Emanuel,,0.0,,
,Ralph Benko,,0.0,,
,Ramesh Ponnuru,,0.0,,
rand,RAND Corporation,left-center,2.0,,www.rand.org
,Rand Paul,,0.0,,
,Rasmussen Reports,,0.0,,
rawstory,Raw Story,left,1.0,,www.rawstory.com
realclearpolitics,RealClearPolitics,center,3.0,,www.realclearpolitics.com
reason,Reason,right-center,4.0,,reason.com
reason,Reason Foundation,right-center,4.0,,reason.org
myrecordjournal,Record Journal,center,3.0,,www.myrecordjournal.com
,Red State,,0.0,,
redefinedonline,redefinED,center,3.0,,www.redefinedonline.org
,Rem Reider,,0.0,,
reuters,Reuters,center,3.0,,www.reuters.com
,Rich Lowry,,0.0,,
,Rich Tafel,,0.0,,
,Rich Zeoli,,0.0,,
,Richard A. Lowry,,0.0,,
,Richard M. Cohen,,0.0,,
richmond,Richmond Times Dispatch,right-center,4.0,,www.richmond.com
,Rick Ungar,,0.0,,
,Right - Major Media Sources,,0.0,,
,Right Guest Commentaries,,0.0,,
rightsidenews,Right Side News,right,5.0,,www.rightsidenews.com
,Right Wing News,,0.0,,
,Rob Rogers (cartoonist),,0.0,,
,Robert Ariail (cartoonist),,0.0,,
,Robert Samuelson,,0.0,,
,Roll Call,,0.0,,
rollingstone,RollingStone.com,left,1.0,,www.rollingstone.com
,Ross Douthat,,0.0,,
,Ruth Marcus,,0.0,,
,Ryan Cooper,,0.0,,
,Ryan Cooper,,0.0,,
,Sally Pipes,,0.0,,
salon,Salon,left,1.0,,www.salon.com
,San Francisco Chronicle,,0.0,,
mercurynews,San Jose Mercury News,left-center,2.0,,www.mercurynews.com
,SBG,,0.0,,
sciencedaily,Science Daily,center,3.0,,www.sciencedaily.com
scientificamerican,Scientific American,center,3.0,,www.scientificamerican.com
,Scott Adams,,0.0,,
,Scott Stantis (cartoonist),,0.0,,
sfweekly,SF Weekly,center,3.0,,www.sfweekly.com
sfgate,SFGate,left-center,2.0,,www.sfgate.com
,Signe Wilkinson (cartoonist),,0.0,,
skyhidailynews,Sky-Hi Daily News,left-center,2.0,,www.skyhidailynews.com
slate,Slate,left,1.0,,slate.com
,Small World (cartoonist),,0.0,,
smerconish,Smerconish,center,3.0,,www.smerconish.com
socialistalternative,Socialist Alternative,left,1.0,,www.socialistalternative.org
,Socialist Project/The Bullet,,0.0,,
,Splinter,,0.0,,
spokesman,Spokesman Review,left-center,2.0,,www.spokesman.com
state-journal,State Journal,left-center,2.0,,www.state-journal.com
,Steve Benson (cartoonist),,0.0,,
,Steve Breen (cartoonist),,0.0,,
,Steve Kelley (cartoonist),,0.0,,
,Steve Sack (cartoonist),,0.0,,
storycorps,StoryCorps,allsides,,,storycorps.org
,Stuart Carlson (cartoonist),,0.0,,
,Subverse,,0.0,,
suspendbeliefpodcast,Suspend Belief Podcast,allsides,,,suspendbeliefpodcast.com
tallahassee,Tallahassee Democrat,center,3.0,,www.tallahassee.com
techcrunch,TechCrunch,center,3.0,,techcrunch.com
,Ted Rall (cartoonist),,0.0,,
teenvogue,Teen Vogue,left-center,2.0,,www.teenvogue.com
,Test Source,,0.0,,
centralkynews,The Advocate-Messenger,left-center,2.0,,www.centralkynews.com
theamericanconservative,The American Conservative,right-center,4.0,,www.theamericanconservative.com
theatlantic,The Atlantic,left-center,2.0,,www.theatlantic.com
bostonglobe,The Boston Globe,left-center,2.0,,www.bostonglobe.com
cadizrecord,The Cadiz Record,left-center,2.0,,www.cadizrecord.com
canyoncountryzephyr,The Canyon County Zephyr,left,1.0,,www.canyoncountryzephyr.com
thecollegefix,The College Fix,right,5.0,,www.thecollegefix.com
commercialappeal,The Commercial Appeal,left-center,2.0,,www.commercialappeal.com
courier-journal,The Courier-Journal,left-center,2.0,,www.courier-journal.com
dailycaller,The Daily Caller,right,5.0,,dailycaller.com
thedailyshow,The Daily Show (humor),left-center,2.0,,www.thedailyshow.com
,The Daily Signal,,0.0,,
dailywire,The Daily Wire,right,5.0,,www.dailywire.com
dallasnews,The Dallas Morning News,center,3.0,,www.dallasnews.com
delcotimes,The Delaware County Daily Times,left-center,2.0,,www.delcotimes.com
economist,The Economist,left-center,2.0,,www.economist.com
theepochtimes,The Epoch Times,right,5.0,,www.theepochtimes.com
thefederalist,The Federalist,right,5.0,,thefederalist.com
theflipside,The Flip Side,allsides,,,www.theflipside.io
,The Fulcrum,,0.0,,
thegatewaypundit,The Gateway Pundit,right,5.0,,www.thegatewaypundit.com
theguardian,The Guardian,left-center,2.0,,www.theguardian.com
heritage,The Heritage Foundation,right-center,4.0,,www.heritage.org
thehill,The Hill,center,3.0,,www.thehill.com
,The Independent,,0.0,,
theintercept,The Intercept,left,1.0,,theintercept.com
,The Jerusalem Post,,0.0,,
thejustice,The Justice,left-center,2.0,,www.thejustice.org
koreaherald,The Korea Herald,center,3.0,,www.koreaherald.com
thelibertarianrepublic,The Libertarian Republic,right-center,4.0,,thelibertarianrepublic.com
thenation,The Nation,left,1.0,,www.thenation.com
newyorker,The New Yorker,left,1.0,,www.newyorker.com
observer,The Observer (New York),center,3.0,,observer.com
usforacle,The Oracle,center,3.0,,www.usforacle.com
philly,The Philadelphia Inquirer,left-center,2.0,,www.philly.com
thepostmillennial,The Post Millennial,right-center,4.0,,www.thepostmillennial.com
redandblack,The Red and Black,center,3.0,,www.redandblack.com
reliablebias,The Reliable Bias,center,3.0,,reliablebias.com
therepublicannews,The Republican,center,3.0,,www.therepublicannews.com
theresurgent,The Resurgent,right,5.0,,theresurgent.com
,The Root,,0.0,,
sacbee,The Sacramento Bee,left-center,2.0,,www.sacbee.com
saturdayeveningpost,The Saturday Evening Post,center,3.0,,www.saturdayeveningpost.com
telegraph,The Telegraph - UK,right-center,4.0,,www.telegraph.co.uk
,The Texas Observer,,0.0,,
theverge,The Verge,left-center,2.0,,www.theverge.com
theweek,The Week - News,center,3.0,,theweek.com
weeklystandard,The Weekly Standard,right,5.0,,www.weeklystandard.com
theblaze,TheBlaze.com,right,5.0,,www.theblaze.com
thinkprogress,ThinkProgress,left,1.0,,thinkprogress.org
,Thomas Frank,,0.0,,
,Thomas Sowell,,0.0,,
,Tim Groseclose,,0.0,,
,Tim Pool,,0.0,,
time,Time Magazine,left-center,2.0,,www.time.com
,Tom Cole,,0.0,,
,Tom Nichols,,0.0,,
,Tom Toles (cartoonist),,0.0,,
,Tony Auth (cartoonist),,0.0,,
townhall,Townhall,right,5.0,,townhall.com
truthorfiction,Truth or Fiction,center,3.0,,www.truthorfiction.com
truthdig,Truthdig,left,1.0,,www.truthdig.com
truth-out,TruthOut,left-center,2.0,,www.truth-out.org
,Tucker Carlson,,0.0,,
usnews,U.S. News & World Report,left-center,2.0,,www.usnews.com
univision,Univision,left-center,2.0,,www.univision.com
upworthy,Upworthy,left,1.0,,upworthy.com
usatoday,USA TODAY,center,3.0,,www.usatoday.com
vanityfair,Vanity Fair,left-center,2.0,,www.vanityfair.com
,Vice,,0.0,,
,Victor Hanson,,0.0,,
volanteonline,Volante,center,3.0,,volanteonline.com
votesmart,Vote Smart,center,3.0,,www.votesmart.org
vox,Vox,left,1.0,,www.vox.com
vtdigger,VT Digger,left-center,2.0,,vtdigger.org
wakeuptopolitics,Wake Up to Politics,center,3.0,,www.wakeuptopolitics.com
wsj,Wall Street Journal - Editorial,right-center,4.0,,online.wsj.com
wsj,Wall Street Journal - News,center,3.0,,online.wsj.com
,Walt Handelsman (cartoonist),,0.0,,
,WANDTV,,0.0,,
washingtonexaminer,Washington Examiner,right-center,4.0,,washingtonexaminer.com
freebeacon,Washington Free Beacon,right,5.0,,freebeacon.com
washingtonmonthly,Washington Monthly,left-center,2.0,,washingtonmonthly.com
washingtonpost,Washington Post,left-center,2.0,,www.washingtonpost.com
washingtontimes,Washington Times,right-center,4.0,,www.washingtontimes.com
,Watchdog.org,,0.0,,
westernjournalism,Western Journalism,right,5.0,,www.westernjournalism.com
wfae,WFAE,center,3.0,,wfae.org
wgbh,WGBH,center,3.0,,news.wgbh.org
,WGN,,0.0,,
,Whatfinger News,,0.0,,
whitehouse,Whitehouse.gov,right-center,4.0,,www.whitehouse.gov
,Willam A. Galston,,0.0,,
,William Bennett,,0.0,,
,William McGurn,,0.0,,
wisconsingazette,Wisconsin Gazette,left-center,2.0,,wisconsingazette.com
wnd,WND.com,right,5.0,,www.wnd.com
yahoo,Yahoo! News,left-center,2.0,,www.yahoo.com
yahoo,Yahoo! The 360,allsides,,,news.yahoo.com
yesmagazine,Yes! Magazine,left,1.0,,www.yesmagazine.org
